Domain Name                                                      	Current Bid 	Join By Date (ET)	Join By Date (PT)	Bidders 	Seller         	TLD     	Length	Words                                                                           	Word Count	Categories                                                                                                      	Hyphens 	Numbers 	Auction Type
loandept.com                                                     	         69 	 12/24/2015 00:00	 12/23/2015 21:00	        	Moniker(R)     	.com    	     8	loan dept                                                                       	          	Finance                                                                                                         	No      	No      	Available Soon
tcwy.com                                                         	         69 	 12/24/2015 00:00	 12/23/2015 21:00	        	Register.com(R)	.com    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
uberreview.com                                                   	         69 	 12/24/2015 00:00	 12/23/2015 21:00	        	SRSplus by Netw	.com    	    10	                                                                                	          	                                                                                                                	No      	No      	Available Soon
whiff.com                                                        	         69 	 12/24/2015 00:00	 12/23/2015 21:00	        	Register.com(R)	.com    	     5	                                                                                	          	                                                                                                                	No      	No      	Available Soon
zzhs.net                                                         	         69 	 12/24/2015 00:00	 12/23/2015 21:00	        	Directi(R)     	.net    	     4	                                                                                	          	                                                                                                                	No      	No      	Available Soon
7527888.com                                                      	         69 	 12/25/2015 00:00	 12/24/2015 21:00	        	Directi(R)     	.com    	     7	                                                                                	          	                                                                                                                	No      	Yes     	Available Soon
bibbi.com                                                        	         69 	 12/25/2015 00:00	 12/24/2015 21:00	        	Launchpad Inc.(	.com    	     5	                                                                                	          	                                                                                                                	No      	No      	Available Soon
feelart.com                                                      	         69 	 12/25/2015 00:00	 12/24/2015 21:00	        	Dotster.com (R)	.com    	     7	feel art                                                                        	          	                                                                                                                	No      	No      	Available Soon
freshsingles.com                                                 	         69 	 12/25/2015 00:00	 12/24/2015 21:00	        	Moniker(R)     	.com    	    12	fresh singles                                                                   	          	Dating                                                                                                          	No      	No      	Available Soon
heyshop.com                                                      	         69 	 12/25/2015 00:00	 12/24/2015 21:00	        	Dotster.com (R)	.com    	     7	hey shop                                                                        	          	Shopping                                                                                                        	No      	No      	Available Soon
